Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Courtney Vandersloot,NYL,G,39,1187,39,1187,16.7,.521,.493,.346,.184,1.9,6.5,40.0,2.2,1.6,20.9,18.6,110,102,,2.6,1.9,4.5,.151
Victoria Vivians,IND,G-F,38,674,38,674,9.9,.478,.451,.490,.156,3.4,10.7,11.4,2.1,0.8,13.1,15.7,97,107,,0.1,0.5,0.6,.038
Shatori Walker-Kimbrough,WAS,G,40,993,40,993,10.3,.559,.507,.404,.232,0.9,4.9,10.5,1.5,1.3,10.4,11.5,109,105,,1.1,1.1,2.2,.088
Kristy Wallace,IND,G,37,728,37,728,10.4,.499,.481,.366,.121,3.6,6.8,15.7,1.6,1.1,16.7,18.0,97,110,,0.1,0.3,0.3,.019
Erica Wheeler,IND,G,40,1071,40,1071,13.6,.489,.439,.264,.223,1.8,6.8,30.7,2.1,0.3,17.1,20.3,101,109,,0.9,0.5,1.4,.054
Sami Whitcomb,SEA,G,40,978,40,978,13.4,.567,.539,.722,.166,2.2,6.6,20.9,1.8,1.2,18.9,19.2,101,107,,0.8,0.7,1.5,.062
Courtney Williams,CHI,G,40,1204,40,1204,15.4,.500,.495,.263,.062,3.6,11.8,33.8,1.6,0.8,19.1,19.0,102,105,,1.1,1.3,2.4,.079
Elizabeth Williams,CHI,C-F,40,1188,40,1188,16.8,.536,.514,.000,.283,8.7,11.5,13.2,2.1,4.1,12.9,15.8,110,103,,2.1,1.6,3.7,.125
Gabby Williams,SEA,F,10,285,10,285,10.3,.421,.388,.245,.138,5.5,7.2,23.2,2.6,1.2,18.1,18.9,88,106,,-0.3,0.3,-0.1,-0.010
Madi Williams,PHO,G-F,5,46,5,46,-2.8,.333,.333,.200,.000,5.5,6.7,3.6,2.3,1.8,28.6,21.3,54,110,,-0.3,0.0,-0.3,-0.253
Jocelyn Willoughby,NYL,F-G,29,192,29,192,6.2,.551,.517,.533,.133,6.2,6.8,7.8,0.8,0.0,20.1,9.2,108,107,,0.2,0.2,0.3,.070
A'ja Wilson,LVA,C,40,1228,40,1228,32.9,.627,.565,.048,.478,8.2,17.9,9.2,2.2,6.0,7.9,28.9,123,93,,6.8,3.5,10.4,.338
Han Xu,NYL,C,8,36,8,36,-1.9,.300,.300,.350,.000,10.0,11.1,0.0,2.8,2.3,20.0,30.9,56,99,,-0.3,0.1,-0.2,-0.271
Jackie Young,LVA,G,40,1259,40,1259,22.6,.657,.617,.416,.284,2.5,7.4,18.7,2.0,0.3,11.6,21.6,124,102,,5.5,2.0,7.5,.239
Kristine Anigwe,TOT,F-C,13,89,13,89,7.5,.454,.417,.042,.333,10.3,14.6,7.0,1.7,4.6,20.3,17.4,87,102,,-0.1,0.1,0.0,.017
Alaina Coates,TOT,C,12,35,12,35,4.5,.709,.833,.000,.667,7.0,16.5,0.0,4.3,0.0,47.4,19.0,67,94,,-0.1,0.1,0.0,-0.051
Liz Dixon,TOT,F,14,77,14,77,15.8,.599,.526,.000,.421,14.8,12.0,4.3,0.0,3.4,15.1,16.0,116,112,,0.2,0.0,0.2,.102
Queen Egbo,TOT,F-C,37,475,37,475,13.5,.528,.500,.000,.318,9.8,19.7,4.1,1.6,4.5,17.2,19.5,95,99,,0.0,1.0,0.9,.079
Destanni Henderson,TOT,G,15,200,15,200,7.2,.430,.360,.421,.368,1.8,3.7,22.1,1.8,0.5,17.4,18.4,87,107,,-0.3,0.2,-0.1,-0.019
